,importance,stdev,n,p99_low,p99_high
Forecasted Load,0.00021790455717388273,0.0011162589088168128,5.0,-0.0020804879644176376,0.002516297078765403
Actual Aggregated,0.0023443602533353034,0.0005745096353042292,5.0,0.0011614369736768846,0.003527283532993722
Oil WTI,0.0005528321154231796,0.0005023666959949838,5.0,-0.0004815478550761167,0.001587212085922476
Natural Gas,0.0003890510690122695,0.0007355595369990994,5.0,-0.0011254761841820817,0.0019035783222066207
Coal,0.00014422747153892412,0.0012662026907455442,5.0,-0.002462901369487161,0.002751356312565009
Uran,7.104270791843253e-05,0.000548176240316585,5.0,-0.0010576597474942291,0.0011997451633310942
actual_E_Total_Gridload_MWh,0.00017966801236218022,0.0004182909364263644,5.0,-0.0006815988071348394,0.0010409348318591999
actual_E_Residual_Load_MWh,0.0007138607970814421,0.0007507050409017495,5.0,-0.0008318512579815758,0.0022595728521444597
actual_generation_E_Biomass_MWh,1.960097672890071e-06,0.0009391332032182663,5.0,-0.001931728147953806,0.0019356483432995861
actual_generation_E_Hydropower_MWh,0.002647283161506607,0.0006218482686558545,5.0,0.0013668889814877467,0.003927677341525467
actual_generation_E_Windoffshore_MWh,0.002525077734861178,0.0009902181042283722,5.0,0.0004862049719863079,0.004563950497736048
actual_generation_E_Windonshore_MWh,0.0023875059513799187,0.0004178884163250588,5.0,0.0015270679263349064,0.003247943976424931
actual_generation_E_Photovoltaics_MWh,0.006824167698737929,0.0005620040355422793,5.0,0.005666993621835123,0.007981341775640735
actual_generation_E_OtherRenewable_MWh,0.00037340832049288645,0.000865607115340492,5.0,-0.0014088886939549413,0.0021557053349407144
actual_generation_E_Nuclear_MWh,0.00014680124274152746,0.0003288887655477701,5.0,-0.0005303852712471493,0.0008239877567302041
actual_generation_E_Lignite_MWh,0.01636837248371894,0.0004962615527734195,5.0,0.01534656308749489,0.017390181879942988
actual_generation_E_HardCoal_MWh,0.001575495113061731,0.000643252524944003,5.0,0.00025102927350731234,0.00289996095261615
actual_generation_E_FossilGas_MWh,0.03574133749479609,0.00048420493088433697,5.0,0.034744352849681887,0.036738322139910295
actual_generation_E_HydroPumpedStorage_MWh,0.004520616281550501,0.0005253629520073035,5.0,0.0034388867020798027,0.005602345861021199
actual_generation_E_OtherConventional_MWh,0.0018095996793642862,0.0005382964873321326,5.0,0.0007012397718993099,0.0029179595868292626
carbon_price_EURO,0.00038088960124289253,0.0016584239453881584,5.0,-0.0030338282241661766,0.0037956074266519615
wind_speed_ms_Hamburg_review,-0.0019785363520836304,0.00047272898375800773,5.0,-0.0029518918634502773,-0.0010051808407169835
T_temperature_C_Muenchen_review,0.004168191156942569,0.0005931198599441355,5.0,0.002946949167529944,0.005389433146355194
sunshine_min_Muenchen_review,0.0031542948247985578,0.0005930935052533559,5.0,0.001933107100058508,0.004375482549538607
month,0.0005059097873495025,0.0007676223811222136,5.0,-0.001074635305049941,0.002086454879748946
weekday,0.00016044444418547994,0.00031245693869000286,5.0,-0.0004829087111910716,0.0008037975995620315
week_of_year,0.0008643522756736869,0.0013383965978616648,5.0,-0.0018914248179303266,0.0036201293692777
is_weekend,0.0011573613488057063,0.0006759859665535425,5.0,-0.00023450309944699692,0.0025492257970584093
is_holiday,-0.0003391929343899078,0.0010298148402399065,5.0,-0.0024595959239975796,0.001781210055217764
